tmdb_id,imdb_id,title,original_title,overview,tagline,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,adult,video,status,poster_path,backdrop_path,homepage,genres,genre_ids,production_companies,production_countries,spoken_languages,cast,directors,writers
1233413,tt31193180,Sinners,Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",Dance with the devil.,2025-04-16,138,90000000,364675759,122.509,7.557,1710,False,False,Released,/yqsCU5XOP2mkbFamzAqbqntmfav.jpg,/nAxGnGHOsfzufThz20zgmRwKur3.jpg,https://www.sinnersmovie.com,HORROR|ACTION|THRILLER,27|28|53,Warner Bros. Pictures|Proximity Media|Domain Entertainment,United States of America,普通话|English,,,
574475,tt9619824,Final Destination Bloodlines,Final Destination Bloodlines,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",Death runs in the family.,2025-05-14,110,50000000,283289961,617.5712,7.179,1379,False,False,Released,/6WxhEvFsauuACfv8HyoVX6mZKFj.jpg,/uIpJPDNFoeX0TVml9smPrs9KUVx.jpg,https://www.finaldestinationmovie.com,HORROR|MYSTERY,27|9648,New Line Cinema|Practical Pictures|Freshman Year|Fireside Films|Domain Entertainment,United States of America,English,,,
13,tt0109830,Forrest Gump,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",The world will never be the same once you've seen it through the eyes of Forrest Gump.,1994-06-23,142,55000000,677387716,18.329,8.468,28332,False,False,Released,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,/tlEFuIlaxRPXIYVHXbOSAMCfWqk.jpg,https://www.paramountmovies.com/movies/forrest-gump,COMEDY|DRAMA|ROMANCE,35|18|10749,Paramount Pictures|The Steve Tisch Company|Wendy Finerman Productions,United States of America,English,,,
519182,tt7510222,Despicable Me 4,Despicable Me 4,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",Things just got a little more despicable.,2024-06-20,94,100000000,969280910,39.6391,7.045,2821,False,False,Released,/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,/lgkPzcOSnTvjeMnuFzozRO5HHw1.jpg,https://www.despicable.me,FAMILY|COMEDY|ANIMATION|SCIENCE_FICTION,10751|35|16|878,Universal Pictures|Illumination,United States of America,English,,,
1371151,tt27424511,Off the Grid,Off the Grid,"After a morally-bankrupt company tries to weaponize a brilliant scientist's revolutionary technology, he goes off the grid to safeguard humanity. When the company sends a strike force to find him, they make their biggest mistake of all – they weaponize the man they are trying to catch.",You can hide... or fight back.,2025-06-27,105,13000000,0,18.597,6.8,10,False,False,Released,/mMUVnkcx2VawTBJYnnnRN8fxJpb.jpg,/jpS4Hg1MjXgmIXYZhJwNPVGJaTG.jpg,,ACTION|THRILLER,28|53,Buffalo 8|Iervolino & Lady Bacardi Entertainment|Eyevox|BondIt Media Capital|Latigo Films|Grindstone Entertainment Group,Italy|United States of America,English,,,
1412113,,Squid Game: Making Season 2,오징어 게임: 시즌2 제작 이야기,"From set designs to character arcs, get exclusive cast and director interviews on how Season 2 of the globally most-watched series was brought to life.",,2025-01-02,28,0,0,192.7126,8.499,412,False,False,Released,/yQGaui0bQ5Ai3KIFBB45nTeIqad.jpg,/jgrImRKhsRXaa6wlSsQPnFRUQbH.jpg,https://www.netflix.com/title/81922471,DOCUMENTARY,99,,South Korea,한국어/조선말,,,
372754,tt5526028,Dou kyu sei – Classmates,同級生,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.","Sincerely, Slowly, Falling in Love.",2016-02-20,61,0,1397526,2.5463,8.347,406,False,False,Released,/cIfRCA5wEvj9tApca4UDUagQEiM.jpg,/tLmyP7akYmxLwyfTEt2qyj2sOR3.jpg,http://doukyuseimovie.com/,ROMANCE|ANIMATION,10749|16,A-1 Pictures|Aniplex,Japan,日本語,,,
715287,,Stepmom's Desire,새엄마의 욕망,"Sang-jin, who was envious of her neighbor after getting a beautiful wife, Ask your wife's friend Gian to take over the son's extracurricular teacher, Sang-jin, who left work early, accidentally sees Gian's shower. A man who wants to have sex with his son's tutor, And a son who wants to have a good time with a young stepmom, Ji-an and Jin-hee, who want money, are disappointed with her husband, and Bin-jin gives her body to a young son.",,2020-05-29,78,0,0,52.6321,7.3,22,False,False,Released,/rYC6UyML4CU4zYiZVbDMrwnGyWW.jpg,/54mPXhtaUejdQtaCYeJPJP8ZfXX.jpg,,DRAMA|ROMANCE,18|10749,,South Korea,한국어/조선말,,,
1284120,tt29344903,The Ugly Stepsister,Den stygge stesøsteren,"In a fairy-tale kingdom where beauty is a brutal business, Elvira battles to compete with her incredibly beautiful stepsister, and she will go to any length to catch the prince’s eye.",If the shoe dosen't fit...,2025-03-07,109,4250000,884602,48.8194,7.189,214,False,False,Released,/crX9rSg9EohybhkEe8iTQUCe55y.jpg,/eQV9rSQ6S1ja4lGTwHTnQuVhoG.jpg,https://www.uglystepsister.movie,HORROR|COMEDY|FANTASY|DRAMA,27|35|14|18,Mer Film|Lava Films|MOTOR|Scanbox Entertainment Production|Zentropa International Sweden|Mediefondet Zefyr,Denmark|Norway|Poland|Sweden,Norsk|Polski|svenska,,,
605722,tt9883398,Distant,Distant,"After crash-landing on an alien planet, an asteroid miner must contend with the challenges of his new surroundings, while making his way across the harsh terrain to the only other survivor – a woman who is trapped in her escape pod.",Right girl. Wrong world.,2024-07-12,87,0,0,273.9523,6.394,147,False,False,Released,/czh8HOhsbBUKoKsmRmLQMCLHUev.jpg,/v47JpEeMlO0zNWCngouh0MafchU.jpg,,SCIENCE_FICTION|COMEDY|ACTION,878|35|28,DreamWorks Pictures|Reliance Entertainment|Automatik Entertainment|Speck Gordon,United States of America|India,English,,,
