id,title,genres,release_year,vote_average,popularity
17578,The Adventures of Tintin,"Adventure, Animation, Mystery",2011.0,6.885,33.653
19178,The Trip Across Paris,"Comedy, Drama",1956.0,7.3,6.232
24070,Mixed Nuts,"Comedy, Drama, Romance",1994.0,5.448,8.556
24005,Don't Bother to Knock,"Drama, Thriller",1952.0,6.688,10.112
16269,God of Gamblers,"Action, Comedy, Drama",1989.0,7.174,11.88
21352,Andre,"Drama, Family, Adventure",1994.0,5.351,8.087
17744,The Bedford Incident,"Action, Drama, Thriller, War",1965.0,6.89,10.814
19759,The Fabulous World of Jules Verne,"Adventure, Science Fiction",1958.0,6.992,12.24
17895,Antarctica,"Drama, Adventure",1983.0,7.2,7.849
22819,American Son,Drama,2008.0,4.3,1.926
